mm_dd_hh,ghi,dhi,dni,temp
01-01 00:00,0.0,0.0,0.0,-1.5
01-01 01:00,0.0,0.0,0.0,-0.8
01-01 02:00,0.0,0.0,0.0,0.2
01-01 03:00,0.0,0.0,0.0,1.1
01-01 04:00,0.0,0.0,0.0,2.0
01-01 05:00,0.0,0.0,0.0,2.5
01-01 06:00,0.0,0.0,0.0,3.0
01-01 07:00,0.0,0.0,0.0,3.5
01-01 08:00,11.0,11.0,0.0,4.2
01-01 09:00,86.0,59.0,192.2,5.2
01-01 10:00,128.0,107.0,95.1,6.5
01-01 11:00,185.0,120.0,244.9,7.6
01-01 12:00,197.0,115.0,302.2,7.6
01-01 13:00,177.0,87.0,378.0,8.4
01-01 14:00,104.0,68.0,214.3,8.1
01-01 15:00,22.0,22.0,0.0,7.7
01-01 16:00,0.0,0.0,0.0,7.6
01-01 17:00,0.0,0.0,0.0,7.6
01-01 18:00,0.0,0.0,0.0,7.6
01-01 19:00,0.0,0.0,0.0,7.7
01-01 20:00,0.0,0.0,0.0,7.9
01-01 21:00,0.0,0.0,0.0,7.9
01-01 22:00,0.0,0.0,0.0,7.9
01-01 23:00,0.0,0.0,0.0,8.1
01-02 00:00,0.0,0.0,0.0,8.2
01-02 01:00,0.0,0.0,0.0,9.5
01-02 02:00,0.0,0.0,0.0,9.1
01-02 03:00,0.0,0.0,0.0,8.8
01-02 04:00,0.0,0.0,0.0,7.7
01-02 05:00,0.0,0.0,0.0,6.6
01-02 06:00,0.0,0.0,0.0,5.8
01-02 07:00,0.0,0.0,0.0,4.7
01-02 08:00,4.0,4.0,0.0,4.1
01-02 09:00,28.0,28.0,0.0,3.8
01-02 10:00,40.0,40.0,0.0,3.3
01-02 11:00,31.0,31.0,0.0,2.8
01-02 12:00,45.0,45.0,0.0,2.8
01-02 13:00,53.0,53.0,0.0,2.8
01-02 14:00,44.0,44.0,0.0,2.9
01-02 15:00,22.0,22.0,0.0,2.5
01-02 16:00,0.0,0.0,0.0,1.8
01-02 17:00,0.0,0.0,0.0,1.2
01-02 18:00,0.0,0.0,0.0,0.8
01-02 19:00,0.0,0.0,0.0,0.7
01-02 20:00,0.0,0.0,0.0,0.2
